id,llama_orig,llama_typos,llama_filler,llama_bullets,llama_shuffled,mistral_orig,mistral_typos,mistral_filler,mistral_bullets,mistral_shuffled
0,5,4,5,5,5,5,5,5,5.0,5
1,4,4,4,4,4,5,4,5,4.0,4
2,5,4,5,5,5,4,4,4,4.0,4
3,5,5,5,5,5,5,5,5,5.0,5
4,5,4,5,4,5,3,3,4,1.0,3
5,5,4,5,4,4,2,4,4,4.0,3
6,5,5,5,5,4,5,5,5,5.0,3
7,5,5,5,5,5,5,5,5,5.0,5
8,5,5,5,5,2,5,5,5,5.0,3
9,5,2,5,5,2,4,4,4,4.0,4
10,5,5,5,5,5,5,5,4,5.0,5
11,5,4,5,4,2,4,4,4,4.0,3
12,5,4,5,5,5,4,4,4,4.0,4
13,5,5,5,5,5,4,4,4,4.0,4
14,4,4,4,4,4,4,3,4,4.0,4
15,5,5,5,4,4,4,4,4,4.0,4
16,5,4,5,5,5,4,4,5,5.0,4
17,5,4,5,5,5,5,4,5,5.0,4
18,4,4,4,4,4,5,4,5,5.0,4
19,4,4,4,4,4,4,4,4,3.0,4
20,2,4,2,2,2,4,4,4,4.0,4
21,5,4,4,5,5,5,4,4,5.0,5
22,5,5,5,5,5,4,4,4,5.0,4
23,5,4,5,4,4,3,3,4,3.0,3
24,5,5,5,5,5,5,5,5,5.0,5
25,5,4,5,5,5,5,5,5,5.0,5
26,5,4,5,5,5,5,5,5,5.0,5
27,5,4,5,5,5,4,4,4,4.0,4
28,5,5,5,5,5,5,5,5,4.0,5
29,5,5,5,5,5,4,4,4,4.0,2
30,4,4,5,5,2,5,3,5,5.0,3
31,5,2,5,5,2,5,5,5,5.0,4
32,5,5,5,5,5,5,5,5,5.0,5
33,5,5,5,5,5,5,5,5,5.0,5
34,5,2,5,5,5,5,5,5,5.0,5
35,5,5,5,5,5,5,4,5,5.0,4
36,5,4,5,4,2,5,5,5,4.0,3
37,5,4,5,5,5,5,5,5,5.0,5
38,5,5,5,5,4,4,4,4,4.0,3
39,5,4,5,5,4,4,3,3,4.0,4
40,5,5,4,5,5,4,4,4,4.0,4
41,5,4,5,4,4,4,4,4,4.0,2
42,4,4,4,4,4,4,4,4,4.0,4
43,5,4,5,5,5,5,5,5,5.0,5
44,4,4,4,4,4,4,4,4,4.0,4
45,5,4,5,5,4,4,4,4,4.0,4
46,5,4,4,4,4,4,4,4,4.0,4
47,5,2,5,5,1,4,4,4,4.0,3
48,5,5,5,5,5,5,5,5,5.0,5
49,5,4,5,5,4,4,4,5,4.0,3
50,5,4,4,5,5,5,5,4,4.0,4
51,5,5,5,5,5,5,5,5,5.0,5
52,5,4,5,5,2,4,3,4,4.0,3
53,4,4,4,4,4,4,4,4,5.0,4
54,5,5,5,5,4,5,5,5,5.0,4
55,5,5,5,5,4,5,5,5,5.0,4
56,5,4,4,4,4,4,4,5,4.0,3
57,5,4,5,5,2,3,3,3,2.0,3
58,5,5,5,5,4,2,4,2,1.0,3
59,5,5,5,5,5,5,5,5,5.0,5
60,5,4,5,5,2,4,4,4,5.0,3
61,5,2,5,4,2,5,4,5,5.0,3
62,5,4,5,5,5,4,3,4,4.0,4
63,5,5,5,4,2,5,5,5,5.0,3
64,5,4,5,5,4,4,3,4,4.0,3
65,5,4,5,5,2,4,4,5,5.0,3
66,5,5,5,5,5,5,5,5,5.0,3
67,5,5,5,5,1,4,4,4,4.0,2
68,5,4,5,5,4,4,4,4,5.0,4
69,5,4,5,5,4,4,4,4,4.0,4
70,5,2,5,5,5,5,2,5,5.0,5
71,5,2,5,5,5,5,1,5,5.0,5
72,5,5,5,5,2,5,5,5,5.0,4
73,4,4,4,4,4,4,3,4,4.0,3
74,5,5,5,5,5,5,5,5,5.0,5
75,5,4,5,5,4,5,5,5,5.0,4
76,5,1,5,5,1,3,5,4,3.0,4
77,5,5,5,5,4,5,4,5,5.0,3
78,5,4,5,5,5,5,5,5,5.0,5
79,5,4,4,4,2,4,3,4,5.0,3
80,5,4,5,5,5,4,4,4,4.0,4
81,5,4,5,5,5,5,5,5,5.0,5
82,4,5,5,5,4,4,4,4,4.0,4
83,5,4,5,5,5,5,4,5,5.0,5
84,5,4,5,4,4,4,3,4,4.0,3
85,5,5,5,5,2,5,5,5,5.0,4
86,1,2,2,4,4,4,3,4,3.0,3
87,5,4,5,5,5,4,3,5,4.0,4
88,5,5,5,5,5,5,5,4,5.0,5
89,4,4,4,4,4,4,4,4,4.0,4
90,5,5,5,5,4,5,5,5,5.0,4
91,5,5,5,5,5,5,5,5,5.0,5
92,5,5,5,5,2,5,5,5,5.0,3
93,5,1,2,5,5,5,5,5,5.0,5
94,5,2,5,5,2,3,3,3,3.0,3
95,5,5,5,5,5,4,4,4,4.0,4
96,5,5,5,5,4,5,4,5,,3
97,1,1,2,1,1,5,5,5,5.0,5
98,5,5,5,5,5,5,5,5,5.0,5
99,5,4,5,5,5,5,4,5,5.0,5
